Country,year,sdgi_score,performance_tier,sdg8_income,sdg8_unemp,sdg8_inwork,sdg9_eurd,sdg9_digital,sdg9_bband,sdg16_cpi,sdg16_rsf,sdg16_crime,sdg4_tertiary,sdg4_adult,sdg7_eurenew,sdg13_co2gcp,sdg5_empgap,sdg10_gini
TŸrkiye,2024,59.1,0,23155.0,9.0,11,1,33.0,96,34,32,11,42,7,,5.05,39.0,44
United Kingdom,2015,71.7,1,23091.0,,8,2,,91,81,80,17,47,16,,6.5,,32
United Kingdom,2016,72.3,1,22874.0,,9,2,,93,81,78,17,47,14,,6.1,,32
United Kingdom,2017,72.8,1,23157.0,,9,2,,94,82,78,20,47,14,,5.88,,33
United Kingdom,2018,72.5,1,23669.0,,10,2,,95,80,77,24,48,15,,5.73,,34
United Kingdom,2019,72.5,1,24508.0,,10,2,,96,77,78,24,49,15,,5.48,,34
United Kingdom,2020,73.2,1,24508.0,,10,2,,97,77,77,24,49,15,,4.87,,34
United Kingdom,2021,73.0,1,24508.0,,10,2,,97,78,78,24,49,15,,5.13,,34
United Kingdom,2022,72.9,1,24508.0,,10,2,,97,73,79,24,49,15,,4.66,,34
United Kingdom,2023,72.8,1,24508.0,,10,2,,97,71,79,24,49,15,,4.51,,34
United Kingdom,2024,72.7,1,24508.0,,10,2,,97,71,78,24,49,15,,4.51,,34
Western Europe,2015,72.4,1,24824.0,7.0,8,3,58.0,87,77,85,14,38,13,14.0,8.04,8.0,29
Western Europe,2016,72.7,1,25355.0,7.0,8,3,58.0,90,76,83,14,38,13,15.0,8.02,8.0,29
Western Europe,2017,73.3,1,26014.0,6.0,8,3,58.0,90,77,83,14,39,13,15.0,7.92,8.0,29
Western Europe,2018,73.4,1,26817.0,6.0,8,3,58.0,92,77,84,14,41,13,16.0,7.65,8.0,29
Western Europe,2019,73.9,1,27461.0,5.0,7,3,58.0,93,76,83,14,42,14,17.0,7.29,8.0,29
Western Europe,2020,74.2,1,27888.0,6.0,8,3,58.0,93,76,84,12,43,11,19.0,6.59,7.0,29
Western Europe,2021,74.2,1,29166.0,6.0,7,3,58.0,93,76,83,12,45,11,19.0,6.94,7.0,29
Western Europe,2022,74.1,1,31052.0,5.0,7,3,58.0,93,76,80,12,45,12,20.0,6.7,7.0,29
Western Europe,2023,74.1,1,32869.0,5.0,7,3,59.0,93,75,81,13,46,13,22.0,6.09,7.0,29
Western Europe,2024,74.1,1,32869.0,5.0,7,3,59.0,93,75,82,13,46,13,22.0,6.09,7.0,29
